"Actual morbidity rate ** per 100,000",Number of verified patients added in the last 3 days,The growth rate of patients is verified in the last 3 days,A number of recoverers,Verified patients discovered so far,Several subjects so far,Population as of 2018,City
957,0,0.0%,27,146,"3,945","12,435",Dyer al-Assad
673,19,0.7%,"1,517",2831,"24,685","195,298",Bnei Brak
483,15,22.4%,-,82,769,"16,983",Hura
349,2,0.5%,220,383,"4,069","46,760",El'ad
335,0,0.0%,6,34,"1,580","8,355",Bi'ina
273,5,1.8%,120,282,"2,634","59,240",Beitar Illit
257,8,2.0%,215,405,"4,108","73,808",Modi'in Illit
250,19,4.1%,176,478,"4,631","120,812",Beit Shemesh
244,0,0.0%,38,59,548,"8,602",Kokhav Ya'akov
209,80,2.3%,"1,589",3496,"50,403","914,559",Jerusalem
189,0,0.0%,25,94,"1,449","36,511",Netivot
167,1,2.0%,21,52,826,"18,510",Giv'at Ze'ev
163,0,0.0%,19,43,"1,983","14,732",Jasser a-Zarqa
154,0,0.0%,6,15,591,"5,851",Pekiin
152,0,0.0%,22,40,460,"11,841",Rechasim
140,0,0.0%,19,26,302,"4,991",Mitzpe Ramon
133,0,0.0%,107,166,"3,212","44,353",Tiberias
132,0,0.0%,95,141,"2,443","34,843",Or Yehuda
131,0,0.0%,50,64,"1,006","10,676",Efrat
126,0,0.0%,5,16,320,"8,737",Harish
125,0,0.0%,18,31,"1,256","10,414",Daburiyya
122,0,0.0%,6,15,226,"7,373",Katzrin
119,0,0.0%,36,44,401,"6,724",Kfar Habad
116,1,2.2%,24,46,973,"18,930",Ganei Tikva
105,0,0.0%,33,39,664,"5,713",Kiryat Ye'arim
103,2,12.5%,-,18,643,"17,465",Ar'arat an-Naqab
94,1,1.3%,26,78,"2,478","55,324",Umm el-Fahm
93,0,0.0%,21,32,605,"11,819",Azur
92,1,6.7%,2,16,"1,621","15,275",Majd al-Krum
90,1,2.1%,9,48,"1,563","43,144",Tayibe
75,0,0.0%,21,31,873,"13,263",Even Yehuda
74,0,0.0%,82,137,"4,162","73,979",Ra'anana
69,0,0.0%,24,41,"1,032","24,538",Giv'at Shmuel
67,0,0.0%,46,70,"1,358","35,671",Zefat
63,0,0.0%,40,55,830,"23,691",Kiryat Malakhi
62,0,0.0%,2,16,"1,013","22,449",Kafr Kanna
62,2,3.6%,17,57,"1,987","64,649",Rahat
61,0,0.0%,39,54,"1,779","24,633",Gedera
60,0,0.0%,27,45,"1,165","30,185",Ofakim
55,2,0.7%,159,283,"7,775","225,073",Ashdod
55,0,0.0%,63,79,"1,463","29,104",Yehud
55,0,0.0%,24,35,939,"20,041",Shoham
55,0,0.0%,187,263,"6,348","139,032",Ashkelon
54,1,2.8%,25,37,694,"22,341",Zikhron Ya'akov
52,3,1.8%,103,171,"5,176","130,523",Bat Yam
50,0,0.0%,88,101,"1,577","26,058",Migdal HaEmek
49,4,2.2%,119,189,"7,452","143,370",Ramat Gan
48,1,2.0%,25,51,"2,299","53,965",Rosh Ha'ayin
48,0,0.0%,34,52,"2,031","37,469",Ma'ale Adumim
47,0,0.0%,25,51,"1,657","55,400",Kiryat Gat
47,0,0.0%,52,87,"2,386","75,038",Lod
46,0,0.0%,35,52,"1,628","37,112",Kiryat Ono
45,1,2.0%,31,52,"1,735","46,596",Carmiel
43,0,0.0%,7,17,"1,042","23,517",Kafr Qasim
42,0,0.0%,18,23,908,"11,910",Jatt
41,0,0.0%,13,23,905,"24,216",Be'er Ya'akov
41,0,0.0%,6,17,582,"26,763",Arad
37,8,2.9%,191,281,"9,756","242,478",Petah Tikva
37,1,0.6%,100,173,"8,277","196,755",Be'er Sheva
35,2,0.4%,376,533,"17,893","450,192",Tel Aviv - Yafo
33,1,1.6%,47,64,"1,949","50,886",Afula
33,0,0.0%,90,119,"3,735","87,108",Modi'in-Maccabim-Re'ut
31,0,0.0%,7,17,"1,098","32,089",Sakhnin
31,0,0.0%,74,102,"3,508","90,900",Herzliya
31,0,0.0%,120,177,"6,716","185,741",Holon
30,0,0.0%,19,32,"1,717","43,811",Nof Ha'Galil
29,3,12.0%,13,28,"1,927","50,872",Acre
29,0,0.0%,9,15,542,"20,831",Kadima Zoran
28,0,0.0%,10,16,608,"21,301",Kfar Yona
28,0,0.0%,18,29,"1,431","39,556",Kiryat Yam
28,0,0.0%,12,20,"1,116","29,035",Baqa al-Gharbiya
27,0,0.0%,24,31,888,"25,891",Sderot
27,0,0.0%,32,44,"1,704","44,896",Ramat HaSharon
26,4,21.1%,11,23,"1,421","45,714",Ness Ziona
25,2,1.1%,125,178,"6,120","213,971",Netanya
24,0,0.0%,49,72,"3,146","97,412",Kfar Saba
24,0,0.0%,28,41,"2,081","55,123",Givatayim
23,2,0.9%,164,219,"8,515","241,010",Rishon Lezion
23,1,1.8%,41,58,"2,280","75,246",Ramla
23,0,0.0%,10,15,563,"22,152",Kiryat Shmona
