"Actual morbidity rate ** per 100,000",Number of verified patients added in the last 3 days,The growth rate of patients is verified in the last 3 days,A number of recoverers,Verified,Several subjects so far,Population as of 2018,City
788,2,1.3%,54,152,4347,12435,Dyer al-Assad
730,20,19.2%,-,124,1106,16983,Hura
519,11,0.4%,1858,2871,27481,195298,Bnei Brak
252,2,0.5%,269,387,4455,46760,El'ad
227,0,0.0%,15,34,1648,8355,Bi'ina
226,0,0.0%,10,19,241,3974,Ali
209,2,0.5%,255,409,4650,73808,Modi'in Illit
195,5,1.0%,261,497,5339,120812,Beit Shemesh
192,0,0.0%,10,18,220,4175,Yavneel
182,1,0.4%,177,285,2918,59240,Beitar Illit
160,0,0.0%,18,26,312,4991,Mitzpe Ramon
159,0,0.0%,38,96,1674,36511,Netivot
156,14,0.4%,2162,3592,55684,914559,Jerusalem
131,0,0.0%,50,64,1052,10676,Efrat
118,0,0.0%,26,40,508,11841,Rechasim
116,0,0.0%,49,59,594,8602,Kokhav Ya'akov
114,0,0.0%,6,16,349,8737,Harish
113,1,0.6%,117,167,3684,44353,Tiberias
103,2,10.5%,3,21,696,17465,Ar'arat an-Naqab
102,0,0.0%,28,43,2167,14732,Jasser a-Zarqa
92,0,0.0%,5,19,1830,15275,Majd al-Krum
89,0,0.0%,38,44,414,6724,Kfar Habad
88,0,0.0%,34,39,680,5713,Kiryat Ye'arim
86,0,0.0%,111,141,2623,34843,Or Yehuda
86,0,0.0%,12,49,1795,43144,Tayibe
85,0,0.0%,10,15,640,5851,Pekiin
85,0,0.0%,31,47,1381,18930,Ganei Tikva
81,0,0.0%,9,15,258,7373,Katzrin
81,1,1.3%,35,80,2787,55324,Umm el-Fahm
76,1,1.9%,39,53,918,18510,Giv'at Ze'ev
67,0,0.0%,24,31,1361,10414,Daburiyya
66,0,0.0%,91,140,4743,73979,Ra'anana
58,0,0.0%,3,16,1101,22449,Kafr Kanna
55,0,0.0%,24,35,995,20041,Shoham
53,0,0.0%,24,31,921,13263,Even Yehuda
52,0,0.0%,107,175,5943,130523,Bat Yam
51,0,0.0%,26,32,648,11819,Azur
48,1,1.7%,28,59,2303,64649,Rahat
48,2,2.9%,55,72,1489,35671,Zefat
46,0,0.0%,44,55,919,23691,Kiryat Malakhi
46,0,0.0%,31,45,1262,30185,Ofakim
46,0,0.0%,198,262,6805,139032,Ashkelon
45,0,0.0%,43,54,2151,24633,Gedera
45,0,0.0%,127,191,8045,143370,Ramat Gan
43,0,0.0%,28,51,2521,53965,Rosh Ha'ayin
43,0,0.0%,7,17,1124,23517,Kafr Qasim
42,0,0.0%,90,101,1711,26058,Migdal HaEmek
42,1,0.4%,191,285,8512,225073,Ashdod
41,0,0.0%,67,79,1552,29104,Yehud
41,0,0.0%,31,41,1122,24538,Giv'at Shmuel
40,0,0.0%,28,37,771,22341,Zikhron Ya'akov
40,0,0.0%,37,52,2139,37469,Ma'ale Adumim
40,0,0.0%,59,89,2715,75038,Lod
38,0,0.0%,31,52,1827,55400,Kiryat Gat
38,0,0.0%,38,52,1772,37112,Kiryat Ono
36,7,4.0%,113,184,9258,196755,Be'er Sheva
33,0,0.0%,14,22,992,24216,Be'er Ya'akov
32,0,0.0%,37,52,1928,46596,Carmiel
32,1,0.4%,209,286,10725,242478,Petah Tikva
31,0,0.0%,7,17,1245,32089,Sakhnin
30,0,0.0%,20,33,1911,43811,Nof Ha'Galil
29,0,0.0%,405,537,19811,450192,Tel Aviv - Yafo
29,0,0.0%,9,15,577,20831,Kadima Zoran
28,0,0.0%,50,64,2275,50886,Afula
27,0,0.0%,25,32,1005,25891,Sderot
25,1,1.0%,82,105,3756,90900,Herzliya
25,0,0.0%,20,23,955,11910,Jatt
25,1,2.3%,34,45,1856,44896,Ramat HaSharon
24,0,0.0%,97,118,3980,87108,Modi'in-Maccabim-Re'ut
24,2,1.1%,137,181,7378,185741,Holon
24,1,4.8%,14,22,1268,33792,Tamra
23,0,0.0%,11,16,668,21301,Kfar Yona
23,0,0.0%,20,29,1846,39556,Kiryat Yam
23,0,0.0%,10,15,656,22152,Kiryat Shmona
22,1,5.9%,12,18,663,26763,Arad
22,1,4.3%,14,24,1545,45714,Ness Ziona
21,0,0.0%,14,20,1256,29035,Baqa al-Gharbiya
20,0,0.0%,54,73,3473,97412,Kfar Saba
18,0,0.0%,117,167,10097,272584,Haifa
18,0,0.0%,175,219,9187,241010,Rishon Lezion
18,0,0.0%,31,41,2300,55123,Givatayim
18,0,0.0%,14,18,656,22243,Tirat Carmel
18,0,0.0%,19,28,2169,50872,Acre
18,0,0.0%,30,38,1609,45555,Yavne
17,0,0.0%,140,177,6877,213971,Netanya
17,0,0.0%,45,58,2664,75246,Ramla
17,0,0.0%,10,17,1330,40622,Pardes Hanna-Karkur
15,1,0.8%,99,119,5365,137178,Rehovot
13,0,0.0%,24,27,838,22410,Gan Yavne
12,0,0.0%,33,40,2984,58750,Nahariya
12,0,0.0%,35,42,1725,59171,Hod HaSharon
12,0,0.0%,10,19,1524,78252,Nazareth
11,2,8.7%,19,25,1326,56568,Eilat
11,0,0.0%,19,25,1675,57108,Kiryat Ata
10,0,0.0%,13,17,1517,39262,Kiryat Bialik
10,0,0.0%,42,51,3703,94104,Hadera
9,0,0.0%,15,17,583,22711,Yokneam
9,0,0.0%,13,15,1273,23093,Mevaseret Zion
6,0,0.0%,26,28,1552,35377,Dimona
