"Actual morbidity rate ** per 100,000",Number of verified patients added in the last 3 days,The growth rate of patients is verified in the last 3 days,A number of recoverers,Verified,Several tests so far,Population as of 2018,City
771,2,1.5%,1,132,1218,16983,Hura
571,0,0.0%,80,151,4502,12435,Dyer al-Assad
435,2,0.1%,2046,2895,29548,195298,Bnei Brak
226,0,0.0%,10,19,249,3974,Ali
192,0,0.0%,10,18,226,4175,Yavneel
183,2,0.5%,277,412,5011,73808,Modi'in Illit
182,0,0.0%,302,387,4696,46760,El'ad
180,0,0.0%,19,34,1683,8355,Bi'ina
175,1,0.2%,301,513,5858,120812,Beit Shemesh
160,1,0.3%,198,293,3131,59240,Beitar Illit
160,0,0.0%,18,26,322,4991,Mitzpe Ramon
137,3,3.1%,51,101,1811,36511,Netivot
132,11,0.3%,2425,3635,59064,914559,Jerusalem
114,0,0.0%,6,16,368,8737,Harish
112,0,0.0%,52,64,1094,10676,Efrat
105,0,0.0%,50,59,625,8602,Kokhav Ya'akov
101,0,0.0%,122,167,3794,44353,Tiberias
92,0,0.0%,6,20,1876,15275,Majd al-Krum
92,1,5.0%,5,21,755,17465,Ar'arat an-Naqab
89,0,0.0%,38,44,425,6724,Kfar Habad
88,0,0.0%,34,39,698,5713,Kiryat Ye'arim
85,0,0.0%,10,15,657,5851,Pekiin
76,0,0.0%,16,49,1944,43144,Tayibe
76,0,0.0%,31,40,563,11841,Rechasim
75,0,0.0%,32,43,2226,14732,Jasser a-Zarqa
72,1,0.7%,119,144,2901,34843,Or Yehuda
70,0,0.0%,41,54,997,18510,Giv'at Ze'ev
69,0,0.0%,34,47,1444,18930,Ganei Tikva
68,0,0.0%,10,15,277,7373,Katzrin
65,0,0.0%,44,80,2907,55324,Umm el-Fahm
59,1,0.7%,97,141,4987,73979,Ra'anana
53,0,0.0%,24,31,952,13263,Even Yehuda
51,2,1.1%,111,178,6425,130523,Bat Yam
51,0,0.0%,29,62,2390,64649,Rahat
51,0,0.0%,26,32,714,11819,Azur
50,0,0.0%,25,35,1059,20041,Shoham
45,0,0.0%,56,72,1595,35671,Zefat
43,2,3.9%,30,53,2702,53965,Rosh Ha'ayin
43,0,0.0%,130,191,8803,143370,Ramat Gan
42,1,1.8%,46,56,980,23691,Kiryat Malakhi
40,0,0.0%,7,16,1159,22449,Kafr Kanna
40,1,1.9%,31,53,1970,55400,Kiryat Gat
40,0,0.0%,207,262,7459,139032,Ashkelon
38,0,0.0%,27,31,1409,10414,Daburiyya
38,0,0.0%,69,80,1642,29104,Yehud
37,1,2.4%,33,42,1188,24538,Giv'at Shmuel
36,2,0.7%,206,287,9118,225073,Ashdod
35,0,0.0%,39,52,1924,37112,Kiryat Ono
35,0,0.0%,39,52,2232,37469,Ma'ale Adumim
35,1,0.5%,117,185,9915,196755,Be'er Sheva
35,0,0.0%,89,98,1740,26058,Migdal HaEmek
34,0,0.0%,9,17,1195,23517,Kafr Qasim
33,0,0.0%,64,89,2986,75038,Lod
32,0,0.0%,46,54,2230,24633,Gedera
29,1,2.2%,34,47,2171,44896,Ramat HaSharon
29,0,0.0%,9,15,638,20831,Kadima Zoran
29,1,0.2%,418,547,21393,450192,Tel Aviv - Yafo
28,0,0.0%,8,17,1318,32089,Sakhnin
28,1,0.3%,223,290,11463,242478,Petah Tikva
27,0,0.0%,21,33,2031,43811,Nof Ha'Galil
27,0,0.0%,25,32,1080,25891,Sderot
27,0,0.0%,12,18,705,22243,Tirat Carmel
27,0,0.0%,37,45,1369,30185,Ofakim
26,0,0.0%,98,121,4206,87108,Modi'in-Maccabim-Re'ut
26,1,5.6%,12,19,722,26763,Arad
26,0,0.0%,52,65,2486,50886,Afula
25,0,0.0%,82,105,4034,90900,Herzliya
24,0,0.0%,13,24,1664,45714,Ness Ziona
24,0,0.0%,42,53,2243,46596,Carmiel
23,0,0.0%,11,16,731,21301,Kfar Yona
23,0,0.0%,20,29,1942,39556,Kiryat Yam
22,0,0.0%,32,37,825,22341,Zikhron Ya'akov
22,0,0.0%,140,181,7993,185741,Holon
18,0,0.0%,11,15,747,22152,Kiryat Shmona
18,0,0.0%,16,22,1356,33792,Tamra
18,0,0.0%,19,28,2262,50872,Acre
17,0,0.0%,57,74,4180,97412,Kfar Saba
17,2,0.9%,179,221,10189,241010,Rishon Lezion
17,0,0.0%,45,58,2970,75246,Ramla
17,0,0.0%,21,23,992,11910,Jatt
16,0,0.0%,126,170,11254,272584,Haifa
15,0,0.0%,31,38,1747,45555,Yavne
15,1,0.6%,146,178,7488,213971,Netanya
15,0,0.0%,33,41,2474,55123,Givatayim
14,0,0.0%,102,121,5782,137178,Rehovot
13,0,0.0%,24,27,885,22410,Gan Yavne
13,0,0.0%,12,17,1595,39262,Kiryat Bialik
12,0,0.0%,19,22,1072,24216,Be'er Ya'akov
12,0,0.0%,13,18,1521,40622,Pardes Hanna-Karkur
12,0,0.0%,35,42,1874,59171,Hod HaSharon
12,0,0.0%,10,19,1615,78252,Nazareth
10,0,0.0%,17,20,1332,29035,Baqa al-Gharbiya
10,0,0.0%,42,51,4045,94104,Hadera
9,0,0.0%,20,25,1408,56568,Eilat
9,1,2.5%,36,41,3218,58750,Nahariya
7,0,0.0%,21,25,1933,57108,Kiryat Ata
6,0,0.0%,26,28,1694,35377,Dimona
4,0,0.0%,16,17,628,22711,Yokneam
4,0,0.0%,14,15,1370,23093,Mevaseret Zion
