"Actual morbidity rate ** per 100,000",Number of verified patients added in the last 3 days,The growth rate of patients is verified in the last 3 days,A number of recoverers,Verified,Several subjects so far,Population as of 2018,City
820,2,1.4%,48,150,4293,12435,Dyer al-Assad
712,21,21.0%,-,121,1057,16983,Hura
547,13,0.5%,1792,2861,26702,195298,Bnei Brak
276,2,0.5%,258,387,4367,46760,El'ad
239,0,0.0%,14,34,1639,8355,Bi'ina
219,2,0.5%,247,409,4510,73808,Modi'in Illit
206,8,1.6%,246,495,5138,120812,Beit Shemesh
199,3,1.1%,167,285,2840,59240,Beitar Illit
181,1,1.1%,30,96,1591,36511,Netivot
174,30,0.8%,1985,3577,54026,914559,Jerusalem
140,0,0.0%,19,26,309,4991,Mitzpe Ramon
136,0,0.0%,23,43,2121,14732,Jasser a-Zarqa
131,0,0.0%,50,64,1035,10676,Efrat
128,0,0.0%,48,59,584,8602,Kokhav Ya'akov
127,0,0.0%,25,40,491,11841,Rechasim
126,0,0.0%,5,16,340,8737,Harish
113,0,0.0%,116,166,3562,44353,Tiberias
109,1,5.6%,-,19,676,17465,Ar'arat an-Naqab
109,0,0.0%,7,15,244,7373,Katzrin
104,0,0.0%,37,44,409,6724,Kfar Habad
103,0,0.0%,9,15,637,5851,Pekiin
98,2,11.8%,4,19,1819,15275,Majd al-Krum
95,1,0.7%,108,141,2585,34843,Or Yehuda
90,1,2.2%,30,47,1358,18930,Ganei Tikva
88,0,0.0%,11,49,1765,43144,Tayibe
88,0,0.0%,34,39,675,5713,Kiryat Ye'arim
86,0,0.0%,36,52,893,18510,Giv'at Ze'ev
83,0,0.0%,33,79,2747,55324,Umm el-Fahm
77,0,0.0%,23,31,1347,10414,Daburiyya
68,0,0.0%,24,32,635,11819,Azur
65,0,0.0%,92,140,4631,73979,Ra'anana
62,0,0.0%,2,16,1087,22449,Kafr Kanna
60,0,0.0%,27,45,1213,30185,Ofakim
56,1,1.4%,51,71,1426,35671,Zefat
56,1,1.7%,23,59,2264,64649,Rahat
55,0,0.0%,24,35,974,20041,Shoham
54,2,1.2%,104,175,5752,130523,Bat Yam
53,0,0.0%,24,31,907,13263,Even Yehuda
49,0,0.0%,29,41,1088,24538,Giv'at Shmuel
49,0,0.0%,42,54,1954,24633,Gedera
47,0,0.0%,196,262,6670,139032,Ashkelon
46,0,0.0%,44,55,886,23691,Kiryat Malakhi
45,1,0.5%,126,191,7837,143370,Ramat Gan
45,0,0.0%,55,89,2645,75038,Lod
45,0,0.0%,27,37,740,22341,Zikhron Ya'akov
43,0,0.0%,36,52,1728,37112,Kiryat Ono
43,0,0.0%,187,284,8230,225073,Ashdod
43,0,0.0%,28,51,2447,53965,Rosh Ha'ayin
43,0,0.0%,7,17,1106,23517,Kafr Qasim
42,0,0.0%,90,101,1655,26058,Migdal HaEmek
41,0,0.0%,67,79,1528,29104,Yehud
40,0,0.0%,37,52,2104,37469,Ma'ale Adumim
40,0,0.0%,30,52,1753,55400,Kiryat Gat
36,0,0.0%,35,52,1876,46596,Carmiel
36,3,1.7%,108,178,9031,196755,Be'er Sheva
33,0,0.0%,14,22,972,24216,Be'er Ya'akov
33,1,0.4%,205,284,10459,242478,Petah Tikva
32,0,0.0%,19,33,1840,43811,Nof Ha'Galil
31,0,0.0%,7,17,1214,32089,Sakhnin
31,2,0.4%,397,537,19325,450192,Tel Aviv - Yafo
31,0,0.0%,24,32,967,25891,Sderot
29,0,0.0%,49,64,2112,50886,Afula
29,0,0.0%,9,15,568,20831,Kadima Zoran
28,3,2.9%,80,105,3671,90900,Herzliya
26,0,0.0%,95,118,3877,87108,Modi'in-Maccabim-Re'ut
26,0,0.0%,15,28,2083,50872,Acre
25,0,0.0%,131,178,7213,185741,Holon
25,0,0.0%,20,23,943,11910,Jatt
25,0,0.0%,33,44,1804,44896,Ramat HaSharon
24,0,0.0%,28,41,2233,55123,Givatayim
23,0,0.0%,11,16,641,21301,Kfar Yona
23,0,0.0%,20,29,1812,39556,Kiryat Yam
23,0,0.0%,10,15,628,22152,Kiryat Shmona
22,0,0.0%,13,18,628,22243,Tirat Carmel
22,1,4.3%,14,24,1503,45714,Ness Ziona
21,0,0.0%,14,21,1218,33792,Tamra
21,0,0.0%,14,20,1232,29035,Baqa al-Gharbiya
21,1,0.6%,111,167,9702,272584,Haifa
21,0,0.0%,53,73,3372,97412,Kfar Saba
20,0,0.0%,170,219,8970,241010,Rishon Lezion
19,0,0.0%,12,17,628,26763,Arad
18,0,0.0%,13,17,556,22711,Yokneam
18,0,0.0%,30,38,1580,45555,Yavne
17,0,0.0%,140,177,6645,213971,Netanya
17,0,0.0%,45,58,2589,75246,Ramla
17,0,0.0%,11,18,1235,40622,Pardes Hanna-Karkur
15,0,0.0%,31,40,2919,58750,Nahariya
15,0,0.0%,97,118,5229,137178,Rehovot
14,0,0.0%,34,42,1681,59171,Hod HaSharon
13,0,0.0%,24,27,819,22410,Gan Yavne
13,0,0.0%,12,17,1462,39262,Kiryat Bialik
12,0,0.0%,10,19,1481,78252,Nazareth
11,0,0.0%,41,51,3513,94104,Hadera
11,2,8.7%,19,25,1296,56568,Eilat
11,0,0.0%,19,25,1582,57108,Kiryat Ata
9,0,0.0%,13,15,1245,23093,Mevaseret Zion
6,0,0.0%,26,28,1390,35377,Dimona
0,0,0.0%,7,15,2437,42870,Kiryat Motzkin
