"Actual morbidity rate ** per 100,000",Number of verified patients added in the last 3 days,The growth rate of patients is verified in the last 3 days,A number of recoverers,Verified patients discovered so far,Several subjects so far,Population as of 2018,City
885,1,0.7%,37,147,"4,050","12,435",Dyer al-Assad
629,29,1.0%,"1,617",2846,"25,441","195,298",Bnei Brak
583,30,43.5%,-,99,897,"16,983",Hura
312,4,1.0%,239,385,"4,173","46,760",El'ad
299,0,0.0%,9,34,"1,601","8,355",Bi'ina
230,10,2.5%,238,408,"4,314","73,808",Modi'in Illit
228,18,3.8%,212,487,"4,850","120,812",Beit Shemesh
225,7,2.5%,152,285,"2,747","59,240",Beitar Illit
190,99,2.9%,"1,813",3552,"51,835","914,559",Jerusalem
184,1,1.1%,28,95,"1,507","36,511",Netivot
151,0,0.0%,46,59,571,"8,602",Kokhav Ya'akov
149,0,0.0%,21,43,"2,045","14,732",Jasser a-Zarqa
140,0,0.0%,19,26,303,"4,991",Mitzpe Ramon
137,0,0.0%,7,15,593,"5,851",Pekiin
131,0,0.0%,50,64,"1,017","10,676",Efrat
130,0,0.0%,28,52,856,"18,510",Giv'at Ze'ev
129,0,0.0%,96,141,"2,481","34,843",Or Yehuda
129,0,0.0%,109,166,"3,256","44,353",Tiberias
127,0,0.0%,25,40,475,"11,841",Rechasim
126,0,0.0%,5,16,325,"8,737",Harish
119,0,0.0%,36,44,407,"6,724",Kfar Habad
109,0,0.0%,7,15,236,"7,373",Katzrin
105,0,0.0%,33,39,669,"5,713",Kiryat Ye'arim
103,1,5.9%,-,18,658,"17,465",Ar'arat an-Naqab
100,1,2.2%,27,46,989,"18,930",Ganei Tikva
96,1,3.2%,22,32,"1,278","10,414",Daburiyya
92,2,13.3%,3,17,"1,654","15,275",Majd al-Krum
90,2,4.3%,10,49,"1,691","43,144",Tayibe
87,1,1.3%,31,79,"2,647","55,324",Umm el-Fahm
72,2,1.5%,86,139,"4,493","73,979",Ra'anana
68,0,0.0%,22,31,887,"13,263",Even Yehuda
68,0,0.0%,24,32,613,"11,819",Azur
62,0,0.0%,2,16,"1,019","22,449",Kafr Kanna
61,0,0.0%,39,54,"1,801","24,633",Gedera
60,0,0.0%,18,57,"2,051","64,649",Rahat
60,0,0.0%,27,45,"1,176","30,185",Ofakim
59,0,0.0%,49,70,"1,388","35,671",Zefat
55,0,0.0%,24,35,953,"20,041",Shoham
55,0,0.0%,42,55,843,"23,691",Kiryat Malakhi
53,0,0.0%,189,263,"6,439","139,032",Ashkelon
53,0,0.0%,28,41,"1,052","24,538",Giv'at Shmuel
51,2,1.2%,104,171,"5,267","130,523",Bat Yam
50,2,0.7%,170,283,"7,909","225,073",Ashdod
50,0,0.0%,88,101,"1,602","26,058",Migdal HaEmek
50,5,2.7%,120,191,"7,594","143,370",Ramat Gan
49,0,0.0%,26,37,707,"22,341",Zikhron Ya'akov
48,0,0.0%,65,79,"1,483","29,104",Yehud
48,1,1.1%,52,88,"2,450","75,038",Lod
46,0,0.0%,26,51,"2,351","53,965",Rosh Ha'ayin
46,0,0.0%,35,52,"1,655","37,112",Kiryat Ono
45,0,0.0%,35,52,"2,044","37,469",Ma'ale Adumim
43,0,0.0%,32,52,"1,791","46,596",Carmiel
43,0,0.0%,7,17,"1,063","23,517",Kafr Qasim
42,0,0.0%,28,51,"1,685","55,400",Kiryat Gat
37,0,0.0%,14,23,921,"24,216",Be'er Ya'akov
37,3,1.7%,103,175,"8,528","196,755",Be'er Sheva
35,7,2.5%,199,283,"9,974","242,478",Petah Tikva
34,0,0.0%,19,23,921,"11,910",Jatt
33,1,0.2%,387,534,"18,569","450,192",Tel Aviv - Yafo
32,1,3.1%,19,33,"1,759","43,811",Nof Ha'Galil
31,0,0.0%,48,64,"2,013","50,886",Afula
31,0,0.0%,7,17,"1,121","32,089",Sakhnin
30,0,0.0%,9,17,597,"26,763",Arad
29,0,0.0%,9,15,552,"20,831",Kadima Zoran
29,0,0.0%,94,119,"3,783","87,108",Modi'in-Maccabim-Re'ut
29,0,0.0%,76,102,"3,556","90,900",Herzliya
28,0,0.0%,125,177,"6,881","185,741",Holon
28,1,3.7%,14,28,"1,969","50,872",Acre
27,0,0.0%,24,31,928,"25,891",Sderot
25,0,0.0%,19,29,"1,460","39,556",Kiryat Yam
25,0,0.0%,33,44,"1,727","44,896",Ramat HaSharon
24,0,0.0%,28,41,"2,164","55,123",Givatayim
23,0,0.0%,11,16,623,"21,301",Kfar Yona
23,0,0.0%,10,15,603,"22,152",Kiryat Shmona
22,0,0.0%,13,18,596,"22,243",Tirat Carmel
22,1,5.9%,9,18,"1,154","40,622",Pardes Hanna-Karkur
22,0,0.0%,12,17,526,"22,711",Yokneam
22,1,0.6%,131,178,"6,314","213,971",Netanya
22,4,21.1%,13,23,"1,437","45,714",Ness Ziona
21,1,1.8%,42,58,"2,320","75,246",Ramla
21,2,0.9%,168,219,"8,620","241,010",Rishon Lezion
21,2,1.2%,109,166,"9,013","272,584",Haifa
21,0,0.0%,14,21,"1,147","33,792",Tamra
21,0,0.0%,14,20,"1,193","29,035",Baqa al-Gharbiya
21,0,0.0%,52,72,"3,253","97,412",Kfar Saba
20,0,0.0%,29,38,"1,521","45,555",Yavne
19,0,0.0%,30,41,"2,790","58,750",Nahariya
17,0,0.0%,22,28,"1,060","35,377",Dimona
17,0,0.0%,95,118,"5,059","137,178",Rehovot
15,0,0.0%,11,17,"1,410","39,262",Kiryat Bialik
15,1,2.4%,33,42,"1,606","59,171",Hod HaSharon
14,0,0.0%,9,20,"1,329","78,252",Nazareth
13,0,0.0%,23,26,797,"22,410",Gan Yavne
13,0,0.0%,39,51,"3,274","94,104",Hadera
11,0,0.0%,19,25,"1,524","57,108",Kiryat Ata
9,0,0.0%,13,15,"1,171","23,093",Mevaseret Zion
7,0,0.0%,19,23,"1,238","56,568",Eilat
0,0,0.0%,6,Less than 15,"2,379","42,870",Kiryat Motzkin
0,0,0.0%,4,Less than 15,994,"40,666",Shefa-'Amr
0,0,0.0%,3,Less than 15,849,"26,184",Tiraa
0,0,0.0%,4,Less than 15,605,"25,876",Arraba
0,0,0.0%,1,Less than 15,891,"22,740",Clanswa
0,0,0.0%,7,Less than 15,569,"22,364",Maghar
0,0,0.0%,10,Less than 15,742,"22,261",Ma'alot-Tarshiha
0,0.1,0.0%,3,Less than 15,"1,218","22,032",Nesher
0,0,0.0%,1,Less than 15,490,"20,524",Jadeida-acquaintance
0,0,0.0%,1,Less than 15,235,"19,850",Tel as-Sabi
