City_Name,Population,Infected
Jerusalem,914559,1821
Bnei Brak,195298,1761
Tel Aviv - Yafo,450192,444
El'ad,46760,233
Ashkelon,139032,225
Petah Tikva,242478,199
Rishon Lezion,241010,192
Modi'in Illit,73808,190
Beit Shemesh,120812,188
Ashdod,225073,170
Holon,185741,159
Netanya,213971,156
Bat Yam,130523,142
Beitar Illit,59240,137
Be'er Sheva,196755,135
Ramat Gan,143370,135
Tiberias,44353,129
Haifa,272584,127
Modi'in-Maccabim-Re'ut,87108,116
Or Yehuda,34843,110
Migdal HaEmek,26058,95
Herzliya,90900,92
Rehovot,137178,87
Ra'anana,73979,87
Kfar Saba,97412,65
Efrat,10676,64
Yehud-Monosson,29104,64
Afula,50886,56
Lod,75038,54
Zefat,35671,52
Ramla,75246,52
Kiryat Ono,37112,46
Kokhav Ya'akov,8602,44
Kfar Habad,6724,44
Kiryat Malakhi,23691,44
Kiryat Ye'arim,5713,38
Hod HaSharon,59171,35
Ma'ale Adumim,37469,35
Ramat HaSharon,44896,35
Shoham,20041,35
Zikhron Ya'akov,22341,34
Giv'at Shmuel,24538,33
Kiryat Gat,55400,32
Ofakim,30185,31
Yavne,45555,31
Netivot,36511,31
Rosh Ha'ayin,53965,31
Givatayim,55123,30
Had room,94104,30
Jasser a-Zarqa,14732,29
Carmiel,46596,29
Umm al-Fahm,55324,28
Area,11819,28
Nahariya,58750,28
Ridges,11841,28
Ganei Tikva,18930,27
Boulevard,25891,27
View of the Galilee,43811,26
Dimona,35377,25
Ibn Judah,13263,24
Gan Yavne,22410,24
Givat Zeev,18510,22
Bees,10414,22
Gedera,24633,21
Kiryat Yam,39556,21
Kiryat Ata,57108,19
Beer Jacob,24216,18
Ness Ziona,45714,17
Acre,50872,17
Eilat,56568,16
Jat,11910,16
Tamra,33792,16
Baka al-Gharbiya,29035,14
Castle Carmel,22243,14
Yokneam Illit,22711,14
Kfar Yona,21301,14
Earth,26763,14
Kadima-Zoran,20831,14
Tel Mond,12593,14
Mevaseret Zion,23093,13
Katzrin,7373,13
Kiryat Shmona,22152,12
Kiryat Arba,7364,11
Kiryat Bialik,39262,11
Dir Hanna,10567,10
Tiba,43144,10
Mazkeret Batya,14949,10
Maalot-Tarshiha,22261,10
Nazareth,78252,10
Omar,8016,10
Kiryat Motzkin,42870,10
RHT,64649,10
Shabali - Umm al-Ganam,6367,10
Kochav Yair,9143,9
Pardes Hanna-Karkur,40622,8
Silverware,16957,7
Megar,22364,7
Kiryat Ekron,10600,7
Shlomi,6478,7
Ixal,14655,6
Ariel,18251,6
Geva Benjamin,5299,6
Kafr Qara,18820,6
Blades,6178,6
Sakhnin,32089,6
Karni Samaria,7906,6
Or Akiva,18893,5
Alfei Menashe,7771,5
Bir al-Maksur,9866,5
Bethel,5767,5
The sons of,6837,5
Maale Iron,14861,5
Eagle,22032,5
Contact Hadassah,7856,5
Beit Dagan,6533,4
Jaljulia,10011,4
Plowing,8737,4
Castle,26184,4
Kfar Kasm,23517,4
Eilab,5677,4
Contact Isaac,5954,4
Spray,40666,4
Oranit,8822,3
Deir al-Assad,12435,3
Effie,19056,3
Jeruham,10126,3
Village of Roses,5599,3
String,9043,3
Nahaf,13167,3
Ein Mahal,13388,3
Esfia,12141,3
Kiryat Tivon,15831,3
Boina-Nujidat,9974,2
Buqata,6586,2
Binyamina-Givat Ada,14383,2
At,10532,2
Bassam Tivon,7833,2
Jedida-sold,20524,2
Jules,6147,2
Singer,6926,2
Winterfish,6288,2
Hatzor HaGililit,9722,2
Kfar Yasif,10577,2
Kfar Kana,22449,2
Arrested,19667,2
Atlit,7442,2
Pekiin,5851,2
Ramat Yishai,7236,2
Gates of Hope,5584,2
Abu Ghosh,7792,1
Abu Rubiya (tribe),8446,1
Bena,8355,1
Bat Hefer,5124,1
Tuba-Zangaria,6648,1
Majdal Shams,11089,1
Masudin al-Azazma,16644,1
Araba,25876,1
Arara-Negev,17465,1
Furidis,13133,1
Pardesia,6027,1
Caesarea,5272,1
Clansua,22740,1
Tel Sheva,19850,1
