"Actual morbidity rate ** per 100,000",Number of verified patients added in the last 3 days,The growth rate of patients is verified in the last 3 days,A number of recoverers,Verified,Several tests so far,Population as of 2018,City
765,5,4.0%,-,130,1196,16983,Hura
651,0,0.0%,70,151,4441,12435,Dyer al-Assad
481,23,0.8%,1954,2893,28796,195298,Bnei Brak
226,0,0.0%,10,19,247,3974,Ali
210,0,0.0%,289,387,4613,46760,El'ad
192,3,0.7%,269,411,4932,73808,Modi'in Illit
192,0,0.0%,10,18,226,4175,Yavneel
186,16,3.2%,288,513,5736,120812,Beit Shemesh
180,0,0.0%,19,34,1673,8355,Bi'ina
162,7,2.5%,196,292,3079,59240,Beitar Illit
160,0,0.0%,18,26,320,4991,Mitzpe Ramon
145,1,1.0%,44,97,1774,36511,Netivot
143,34,0.9%,2317,3625,58044,914559,Jerusalem
131,0,0.0%,50,64,1080,10676,Efrat
114,0,0.0%,6,16,359,8737,Harish
106,0,0.0%,120,167,3757,44353,Tiberias
105,0,0.0%,50,59,613,8602,Kokhav Ya'akov
98,1,5.3%,5,20,1853,15275,Majd al-Krum
95,0,0.0%,29,43,2191,14732,Jasser a-Zarqa
92,1,5.3%,4,20,726,17465,Ar'arat an-Naqab
89,0,0.0%,38,44,421,6724,Kfar Habad
88,0,0.0%,34,39,693,5713,Kiryat Ye'arim
85,0,0.0%,10,15,654,5851,Pekiin
84,0,0.0%,30,40,531,11841,Rechasim
83,2,1.4%,114,143,2797,34843,Or Yehuda
81,0,0.0%,14,49,1890,43144,Tayibe
79,0,0.0%,32,47,1423,18930,Ganei Tikva
70,0,0.0%,41,80,2860,55324,Umm el-Fahm
70,1,1.9%,41,54,957,18510,Giv'at Ze'ev
68,0,0.0%,10,15,266,7373,Katzrin
62,0,0.0%,94,140,4878,73979,Ra'anana
60,0,0.0%,23,35,1033,20041,Shoham
53,0,0.0%,4,16,1145,22449,Kafr Kanna
53,0,0.0%,24,31,940,13263,Even Yehuda
53,2,3.3%,28,62,2361,64649,Rahat
51,0,0.0%,109,176,6238,130523,Bat Yam
51,0,0.0%,26,32,668,11819,Azur
48,0,0.0%,26,31,1402,10414,Daburiyya
45,0,0.0%,56,72,1537,35671,Zefat
43,0,0.0%,32,45,1324,30185,Ofakim
43,0,0.0%,28,51,2632,53965,Rosh Ha'ayin
43,0,0.0%,7,17,1177,23517,Kafr Qasim
42,0,0.0%,45,55,944,23691,Kiryat Malakhi
42,1,0.5%,131,191,8511,143370,Ramat Gan
42,0,0.0%,204,262,7265,139032,Ashkelon
40,0,0.0%,37,52,1861,37112,Kiryat Ono
40,0,0.0%,196,285,8848,225073,Ashdod
38,0,0.0%,31,52,1928,55400,Kiryat Gat
38,1,1.3%,69,80,1600,29104,Yehud
37,0,0.0%,32,41,1165,24538,Giv'at Shmuel
37,0,0.0%,45,54,2206,24633,Gedera
36,0,0.0%,62,89,2878,75038,Lod
35,0,0.0%,39,52,2210,37469,Ma'ale Adumim
35,0,0.0%,116,184,9701,196755,Be'er Sheva
35,0,0.0%,89,98,1725,26058,Migdal HaEmek
31,0,0.0%,7,17,1298,32089,Sakhnin
31,0,0.0%,24,32,1051,25891,Sderot
30,1,1.9%,39,53,2199,46596,Carmiel
30,0,0.0%,20,33,2003,43811,Nof Ha'Galil
30,5,0.9%,411,544,20771,450192,Tel Aviv - Yafo
29,1,1.6%,50,65,2447,50886,Afula
29,4,1.4%,218,289,11222,242478,Petah Tikva
29,0,0.0%,15,22,1043,24216,Be'er Ya'akov
29,0,0.0%,9,15,616,20831,Kadima Zoran
28,3,2.5%,97,121,4120,87108,Modi'in-Maccabim-Re'ut
27,0,0.0%,31,37,793,22341,Zikhron Ya'akov
27,0,0.0%,34,46,2129,44896,Ramat HaSharon
25,0,0.0%,82,105,3932,90900,Herzliya
25,0,0.0%,20,23,973,11910,Jatt
24,0,0.0%,13,24,1592,45714,Ness Ziona
23,0,0.0%,11,16,705,21301,Kfar Yona
23,2,1.1%,138,181,7695,185741,Holon
23,0,0.0%,20,29,1882,39556,Kiryat Yam
22,0,0.0%,13,18,670,22243,Tirat Carmel
22,0,0.0%,12,18,703,26763,Arad
21,0,0.0%,15,22,1305,33792,Tamra
18,1,1.4%,56,74,4025,97412,Kfar Saba
18,0,0.0%,11,15,680,22152,Kiryat Shmona
18,0,0.0%,19,28,2220,50872,Acre
18,0,0.0%,30,38,1688,45555,Yavne
17,0,0.0%,45,58,2842,75246,Ramla
17,1,0.6%,123,170,10650,272584,Haifa
17,0,0.0%,179,219,9525,241010,Rishon Lezion
16,0,0.0%,32,41,2401,55123,Givatayim
16,0,0.0%,143,177,7190,213971,Netanya
15,3,2.5%,101,121,5562,137178,Rehovot
14,0,0.0%,16,20,1302,29035,Baqa al-Gharbiya
13,0,0.0%,24,27,861,22410,Gan Yavne
13,0,0.0%,12,17,1547,39262,Kiryat Bialik
12,0,0.0%,13,18,1420,40622,Pardes Hanna-Karkur
12,0,0.0%,35,42,1810,59171,Hod HaSharon
12,0,0.0%,10,19,1591,78252,Nazareth
10,0,0.0%,42,51,3903,94104,Hadera
9,0,0.0%,20,25,1364,56568,Eilat
9,0,0.0%,20,25,1731,57108,Kiryat Ata
9,0,0.0%,13,15,1339,23093,Mevaseret Zion
9,1,2.5%,36,41,3099,58750,Nahariya
6,0,0.0%,26,28,1678,35377,Dimona
4,0,0.0%,16,17,606,22711,Yokneam
