"Actual morbidity rate ** per 100,000",Number of verified patients added in the last 3 days,The growth rate of patients is verified in the last 3 days,A number of recoverers,Verified patients discovered so far,Several subjects so far,Population as of 2018,City
957,1,0.7%,27,146,"3,923","12,435",Dyer al-Assad
701,21,0.8%,"1,447",2816,"24,066","195,298",Bnei Brak
406,30,76.9%,0,69,613,"16,983",Hura
370,1,0.3%,208,381,"3,995","46,760",El'ad
359,0,0.0%,4,34,"1,571","8,355",Bi'ina
277,3,1.1%,113,277,"2,575","59,240",Beitar Illit
276,4,1.0%,193,397,"3,937","73,808",Modi'in Illit
256,0,0.0%,37,59,543,"8,602",Kokhav Ya'akov
253,20,4.4%,164,470,"4,474","120,812",Beit Shemesh
217,101,3.0%,"1,470",3458,"49,098","914,559",Jerusalem
200,0,0.0%,21,94,"1,376","36,511",Netivot
188,0,0.0%,4,15,583,"5,851",Pekiin
178,2,4.0%,19,52,801,"18,510",Giv'at Ze'ev
176,0,0.0%,17,43,"1,967","14,732",Jasser a-Zarqa
160,0,0.0%,21,40,453,"11,841",Rechasim
140,0,0.0%,19,26,299,"4,991",Mitzpe Ramon
135,0,0.0%,94,141,"2,399","34,843",Or Yehuda
133,0,0.0%,107,166,"3,187","44,353",Tiberias
131,0,0.0%,50,64,"1,002","10,676",Efrat
126,0,0.0%,5,16,318,"8,737",Harish
125,1,3.3%,18,31,"1,229","10,414",Daburiyya
122,0,0.0%,6,15,219,"7,373",Katzrin
122,0,0.0%,22,45,931,"18,930",Ganei Tikva
119,0,0.0%,36,44,399,"6,724",Kfar Habad
105,0,0.0%,33,39,661,"5,713",Kiryat Ye'arim
97,2,13.3%,-,17,593,"17,465",Ar'arat an-Naqab
96,1,1.3%,25,78,"2,448","55,324",Umm el-Fahm
93,1,3.2%,21,32,602,"11,819",Azur
88,5,11.9%,9,47,"1,520","43,144",Tayibe
85,0,0.0%,2,15,"1,595","15,275",Majd al-Krum
76,0,0.0%,81,137,"4,122","73,979",Ra'anana
75,0,0.0%,21,31,702,"13,263",Even Yehuda
69,0,0.0%,24,41,"1,012","24,538",Giv'at Shmuel
67,1,1.4%,46,70,"1,246","35,671",Zefat
66,0,0.0%,25,45,"1,148","30,185",Ofakim
65,0,0.0%,60,79,"1,437","29,104",Yehud
63,1,1.9%,40,55,815,"23,691",Kiryat Malakhi
62,0,0.0%,2,16,"1,000","22,449",Kafr Kanna
62,4,7.5%,17,57,"1,962","64,649",Rahat
61,0,0.0%,39,54,"1,766","24,633",Gedera
58,1,0.4%,184,264,"6,251","139,032",Ashkelon
56,4,1.4%,154,281,"7,610","225,073",Ashdod
55,0,0.0%,24,35,926,"20,041",Shoham
54,1,2.8%,25,37,683,"22,341",Zikhron Ya'akov
54,3,1.8%,99,169,"5,069","130,523",Bat Yam
51,0,0.0%,33,52,"1,994","37,469",Ma'ale Adumim
51,1,2.0%,23,51,"1,618","55,400",Kiryat Gat
50,0,0.0%,17,23,850,"11,910",Jatt
50,3,1.6%,116,188,"7,328","143,370",Ramat Gan
50,3,6.3%,24,51,"2,025","53,965",Rosh Ha'ayin
50,0,0.0%,88,101,"1,564","26,058",Migdal HaEmek
50,0,0.0%,11,23,895,"24,216",Be'er Ya'akov
47,1,2.0%,30,52,"1,719","46,596",Carmiel
47,0,0.0%,6,17,"1,023","23,517",Kafr Qasim
47,0,0.0%,52,87,"2,340","75,038",Lod
46,0,0.0%,35,52,"1,603","37,112",Kiryat Ono
41,0,0.0%,6,17,568,"26,763",Arad
38,5,1.8%,185,278,"9,514","242,478",Petah Tikva
37,0,0.0%,98,171,"8,026","196,755",Be'er Sheva
35,3,0.6%,375,532,"17,663","450,192",Tel Aviv - Yafo
34,0,0.0%,89,119,"3,693","87,108",Modi'in-Maccabim-Re'ut
33,1,1.6%,47,64,"1,886","50,886",Afula
31,1,0.6%,119,177,"6,604","185,741",Holon
31,2,13.3%,7,17,"1,084","32,089",Sakhnin
31,0,0.0%,23,31,873,"25,891",Sderot
31,0,0.0%,74,102,"3,467","90,900",Herzliya
30,0,0.0%,17,29,"1,412","39,556",Kiryat Yam
30,0,0.0%,19,32,"1,703","43,811",Nof Ha'Galil
29,0,0.0%,9,15,527,"20,831",Kadima Zoran
28,0,0.0%,10,16,592,"21,301",Kfar Yona
28,1,5.3%,12,20,"1,087","29,035",Baqa al-Gharbiya
28,2,8.0%,13,27,"1,864","50,872",Acre
27,1,2.3%,32,44,"1,528","44,896",Ramat HaSharon
25,0,0.0%,27,41,"2,055","55,123",Givatayim
25,2,1.1%,123,177,"5,821","213,971",Netanya
24,0,0.0%,13,21,"1,070","33,792",Tamra
24,0,0.0%,49,72,"3,101","97,412",Kfar Saba
23,0,0.0%,161,217,"8,390","241,010",Rishon Lezion
23,1,0.6%,101,164,"8,465","272,584",Haifa
23,0,0.0%,10,15,557,"22,152",Kiryat Shmona
22,0,0.0%,13,18,547,"22,243",Tirat Carmel
22,0,0.0%,21,26,765,"22,410",Gan Yavne
22,0,0.0%,28,41,"2,479","58,750",Nahariya
22,0,0.0%,12,17,501,"22,711",Yokneam
22,0,0.0%,28,38,"1,484","45,555",Yavne
22,2,10.5%,11,21,"1,399","45,714",Ness Ziona
21,0,0.0%,41,57,"2,243","75,246",Ramla
20,0,0.0%,9,17,"1,351","39,262",Kiryat Bialik
20,0,0.0%,9,17,"1,106","40,622",Pardes Hanna-Karkur
20,1,0.8%,92,119,"4,857","137,178",Rehovot
17,0,0.0%,35,51,"2,948","94,104",Hadera
17,0,0.0%,31,41,"1,567","59,171",Hod HaSharon
14,0,0.0%,22,27,"1,035","35,377",Dimona
14,0,0.0%,9,20,"1,267","78,252",Nazareth
12,0,0.0%,18,25,"1,442","57,108",Kiryat Ata
9,0,0.0%,18,23,"1,202","56,568",Eilat
9,0,0.0%,13,15,"1,129","23,093",Mevaseret Zion
0,1,7.7%,6,Less than * 15,"2,299","42,870",Kiryat Motzkin
0,0,0.0%,3,Less than 15,921,"40,666",Shefa-'Amr
0,0,0.0%,3,Less than 15,802,"26,184",Tiraa
0,0,0.0%,4,Less than 15,582,"25,876",Arraba
0,0,0.0%,1,Less than 15,834,"22,740",Clanswa
0,0,0.0%,7,Less than 15,536,"22,364",Maghar
0,0,0.0%,10,Less than 15,661,"22,261",Ma'alot-Tarshiha
0,0.1,0.0%,3,Less than 15,"1,187","22,032",Nesher
0,0,0.0%,-,Less than 15,459,"20,524",Jadeida-acquaintance
0,0,0.0%,1,Less than 15,227,"19,850",Tel as-Sabi
0,0,0.0%,2,Less than 15,791,"19,667",Ar'ara
0,0,0.0%,2,Less than 15,263,"19,058",Beit She'an
0,0,0.0%,4,Less than 15,348,"19,056",Yafa an-Naseriyye
0,1,33.3%,2,Less than 15,375,"18,893",Or Akiva
0,0,0.0%,5,Less than 15,554,"18,820",Kafr Qara
0,0,0.0%,7,Less than 15,656,"18,251",Ariel
0,0,0.0%,7,Less than 15,311,"16,957",Kuseife
0,0,0.0%,-,Less than 15,57,"16,644",Masudin al-Azazma
0,0,0.0%,3,Less than 15,414,"15,831",Kiryat Tiv'on
0,0,0.0%,1,Less than 15,685,"15,418",Yarka
0,0,0.0%,9,Less than 15,499,"14,949",Mazkeret Batya
0,0,0.0%,3,Less than 15,347,"14,861",Ma'ale Iron
0,0,0.0%,-,Less than 15,253,"14,695",Lakiya
0,0,0.0%,4,Less than 15,327,"14,655",Iksal
0,0,0.0%,2,Less than 15,283,"14,383",Binyamina-Givat Ada
0,0,0.0%,3,Less than 15,273,"13,388",Ein Mahil
0,0,0.0%,4,Less than 15,513,"13,167",Nahaf
0,0,0.0%,-,Less than 15,345,"13,164",Abu Snan
0,0,0.0%,4,Less than 15,464,"13,133",Fureidis
0,0,0.0%,12,Less than 15,742,"12,593",Tel Mond
0,0,0.0%,4,Less than 15,539,"12,141",Isfiya
0,0,0.0%,1,Less than 15,755,"12,102","Kabul, Israel"
0,0,0.0%,1,Less than 15,249,"11,089",Majdal Shams
0,0,0.0%,8,Less than 15,300,"10,600",Kiryat Ekron
0,0,0.0%,3,Less than 15,558,"10,577",Kafr Yasif
0,0.1,0.0%,7,Less than 15,429,"10,567",Deir Hanna
0,0,0.0%,4,Less than 15,365,"10,532",Basmaa
0,1,11.1%,3,Less than 15,244,"10,126",Yeruham
0,1,8.3%,2,Less than 15,401,"10,011",Jaljulia
0,0,0.0%,2,Less than 15,198,"9,974",Buayne-Nujidat
0,0,0.0%,2,Less than 15,159,"9,866",Bir al-Maksur
0,0,0.0%,3,Less than 15,230,"9,722",Hatzor HaGlilit
0,0,0.0%,7,Less than 15,387,"9,143",Kokhav Ya'ir
0,0,0.0%,2,Less than 15,450,"9,043",Meiter
0,0,0.0%,3,Less than 15,277,"8,822",Oranit
0,0,0.0%,-,Less than 15,57,"8,446",Abu Rubeya (tribe)
0,0,0.0%,1,Less than 15,271,"8,243",Rama
0,0,0.0%,1,Less than 15,192,"8,241",Ilut
0,0,0.0%,6,Less than 15,316,"8,016",Omer
0,0,0.0%,5,Less than 15,206,"7,906",Karnei Shomron
0,0,0.0%,5,Less than 15,463,"7,856",Tzur Hadassah
0,0,0.0%,2,Less than 15,125,"7,833",Basmat Tab'un
0,0,0.0%,1,Less than 15,409,"7,792",Abu Ghosh
0,0,0.0%,3,Less than 15,211,"7,771",Alfei Menashe
0,0,0.0%,5,Less than 15,230,"7,442",Atlit
0,0,0.0%,8,Less than 15,269,"7,364",Kiryat Arba
0,0,0.0%,2,Less than 15,205,"7,236",Ramat Yishai
0,0,0.0%,-,Less than 15,"1,278","7,191","Sha'ab, Israel"
